Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,division,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,season,jornada
2005-10-30,Osasuna,Espanol,2.0,0.0,H,1.0,0.0,H,1,16.0,7.0,7.0,0.0,18.0,20.0,5.0,4.0,2.0,6.0,0.0,1.0,05-06,10
2005-10-30,Mallorca,Sevilla,1.0,1.0,D,1.0,1.0,D,1,8.0,19.0,2.0,7.0,22.0,15.0,3.0,2.0,2.0,2.0,1.0,0.0,05-06,10
2005-10-30,Alaves,Cadiz,0.0,0.0,D,0.0,0.0,D,1,10.0,7.0,6.0,3.0,25.0,19.0,4.0,0.0,1.0,2.0,0.0,0.0,05-06,10
2005-10-30,Ath Madrid,Villarreal,1.0,1.0,D,1.0,0.0,H,1,16.0,7.0,5.0,2.0,26.0,18.0,8.0,2.0,6.0,4.0,1.0,1.0,05-06,10
2005-11-05,Sociedad,Osasuna,1.0,2.0,A,1.0,1.0,D,1,15.0,17.0,5.0,5.0,22.0,25.0,3.0,3.0,1.0,4.0,0.0,0.0,05-06,11
2005-11-05,Espanol,Ath Bilbao,1.0,1.0,D,0.0,1.0,A,1,13.0,9.0,6.0,3.0,18.0,25.0,4.0,3.0,2.0,1.0,0.0,0.0,05-06,11
2005-11-05,Villarreal,Valencia,1.0,0.0,H,1.0,0.0,H,1,15.0,13.0,4.0,6.0,17.0,22.0,1.0,6.0,1.0,1.0,0.0,0.0,05-06,11
2005-11-06,Cadiz,Mallorca,1.0,2.0,A,1.0,1.0,D,1,9.0,9.0,4.0,4.0,15.0,21.0,7.0,3.0,3.0,3.0,0.0,1.0,05-06,11
2005-11-06,Celta,Alaves,2.0,1.0,H,1.0,0.0,H,1,14.0,9.0,9.0,2.0,22.0,14.0,6.0,4.0,3.0,2.0,0.0,0.0,05-06,11
2005-11-06,Getafe,Barcelona,1.0,3.0,A,0.0,1.0,A,1,7.0,10.0,3.0,7.0,20.0,10.0,5.0,4.0,1.0,0.0,0.0,0.0,05-06,11
2005-11-06,Malaga,La Coruna,1.0,1.0,D,0.0,0.0,D,1,11.0,12.0,1.0,4.0,23.0,17.0,4.0,2.0,0.0,3.0,0.0,0.0,05-06,11
2005-11-06,Real Madrid,Zaragoza,1.0,0.0,H,0.0,0.0,D,1,13.0,14.0,5.0,4.0,14.0,22.0,6.0,1.0,2.0,5.0,0.0,0.0,05-06,11
2005-11-06,Santander,Betis,1.0,1.0,D,0.0,1.0,A,1,14.0,8.0,5.0,2.0,24.0,27.0,6.0,7.0,3.0,2.0,0.0,0.0,05-06,11
2005-11-06,Sevilla,Ath Madrid,0.0,0.0,D,0.0,0.0,D,1,14.0,12.0,6.0,3.0,21.0,18.0,7.0,4.0,0.0,3.0,0.0,0.0,05-06,11
2005-11-19,Getafe,Osasuna,0.0,0.0,D,0.0,0.0,D,1,13.0,9.0,4.0,2.0,17.0,26.0,4.0,2.0,2.0,2.0,0.0,0.0,05-06,12
2005-11-19,Real Madrid,Barcelona,0.0,3.0,A,0.0,1.0,A,1,5.0,20.0,2.0,7.0,25.0,16.0,3.0,6.0,6.0,2.0,0.0,0.0,05-06,12
2005-11-19,Sevilla,Betis,1.0,0.0,H,0.0,0.0,D,1,9.0,8.0,2.0,3.0,23.0,24.0,7.0,4.0,4.0,7.0,2.0,0.0,05-06,12
2005-11-19,Villarreal,Zaragoza,0.0,0.0,D,0.0,0.0,D,1,10.0,11.0,3.0,3.0,19.0,19.0,6.0,2.0,2.0,3.0,0.0,0.0,05-06,12
2005-11-20,Malaga,Sociedad,3.0,1.0,H,0.0,0.0,D,1,14.0,13.0,7.0,3.0,26.0,11.0,7.0,7.0,2.0,2.0,0.0,0.0,05-06,12
2005-11-20,Santander,La Coruna,0.0,3.0,A,0.0,1.0,A,1,17.0,9.0,7.0,3.0,23.0,31.0,4.0,4.0,1.0,1.0,0.0,0.0,05-06,12
2005-11-20,Espanol,Mallorca,2.0,0.0,H,2.0,0.0,H,1,13.0,9.0,6.0,1.0,26.0,25.0,4.0,4.0,3.0,5.0,0.0,1.0,05-06,12
2005-11-20,Celta,Ath Madrid,2.0,1.0,H,1.0,0.0,H,1,10.0,18.0,4.0,8.0,28.0,17.0,3.0,11.0,2.0,2.0,0.0,0.0,05-06,12
2005-11-20,Cadiz,Valencia,0.0,1.0,A,0.0,0.0,D,1,11.0,6.0,4.0,2.0,17.0,26.0,10.0,11.0,4.0,6.0,1.0,1.0,05-06,12
